,书名,作者,评分,a,评价人数,b,简介
52,"海边的卡夫卡
","['[日] 村上春树 ', ' 林少华 ', ' 上海译文出版社 ', ' 2003-4 ', ' 25.00元\n']","8.1
","数：(
","                 67373人评价
","             )
","背负诅咒的少年，平行世界中的奥德赛
"
53,"灿烂千阳
","['[美] 卡勒德·胡赛尼 ', ' 李继宏 ', ' 上海人民出版社 ', ' 2007-9 ', ' 28.00元\n']","8.8
","数：(
","                 61186人评价
","             )
","唯有希望与爱可以驱散阴霾
"
54,"老人与海
","['海明威 ', ' 吴劳 ', ' 上海译文出版社 ', ' 1999-10 ', ' 8.20元\n']","8.3
","数：(
","                 65402人评价
","             )
","正是悲壮赋予生活以意义
"
55,"人类简史
","['[以色列]尤瓦尔·赫拉利 ', ' 林俊宏 ', ' 中信出版社 ', ' 2014-11 ', ' CNY 68.00\n']","9.1
","数：(
","                 58976人评价
","             )
","跟着人类一同走过十万年
"
56,"呼啸山庄
","['（英）勃朗特 ', ' 张扬 ', ' 人民文学出版社 ', ' 1999-01-01 ', ' 27.30元\n']","8.4
","数：(
","                 64492人评价
","             )
","近乎暴虐的爱与恨，中文译名后无来者
"
57,"1984
","['[英] 乔治·奥威尔 ', ' 刘绍铭 ', ' 北京十月文艺出版社 ', ' 2010-4-1 ', ' 28.00\n']","9.3
","数：(
","                 57410人评价
","             )
","栗树荫下，我出卖你，你出卖我
"
58,"人间失格
","['太宰治 ', ' 许时嘉 ', ' 吉林出版集团有限责任公司 ', ' 2009年9月 ', ' 16.00元\n']","8.3
","数：(
","                 65112人评价
","             )
","令人无从怜悯的绝望
"
59,"亲爱的安德烈
","['龙应台 ', ' 人民文学出版社 ', ' 2008-12 ', ' 26.00\n']","8.7
","数：(
","                 61876人评价
","             )
","龙应台母子对话，两代人的思想碰撞
"
60,"兄弟（上）
","['余华 ', ' 上海文艺出版社 ', ' 2005-8 ', ' 16.00元\n']","8.3
","数：(
","                 63195人评价
","             )
","历史苦难中的个人灾变
"
61,"基督山伯爵
","['大仲马 ', ' 周克希 ', ' 上海译文出版社 ', ' 1991-12-1 ', ' 43.90元\n']","9.0
","数：(
","                 57926人评价
","             )
","完美的复仇，金庸用法语写作应该就是这样
"
62,"少有人走的路
","['[美] M·斯科特·派克 ', ' 于海生 ', ' 吉林文史出版社 ', ' 2007-1 ', ' 26.00元\n']","8.4
","数：(
","                 61879人评价
","             )
","成熟的心智通向更完善的自我
"
63,"笑傲江湖（全四册）
","['金庸 ', ' 生活·读书·新知三联书店 ', ' 1994-5 ', ' 76.80元\n']","9.0
","数：(
","                 56141人评价
","             )
","武侠的壳，政治斗争的核
"
64,"无声告白
","['[美] 伍绮诗 ', ' 孙璐 ', ' 江苏凤凰文艺出版社 ', ' 2015-7 ', ' 35.00元\n']","8.2
","数：(
","                 62131人评价
","             )
","莉迪亚死了，可他们还不知道
"
65,"民主的细节
","['刘瑜 ', ' 上海三联书店 ', ' 2009-6 ', ' 25.00\n']","8.6
","数：(
","                 57718人评价
","             )
","公民养成手册
"
